parCodigo,parSiglas,parDenominacion,parColor
"0002","PARTIDO JUSTICIALISTA    ","PARTIDO JUSTICIALISTA                                                                               ",5855577
"0003","UNION CIVICA RADICAL     ","UNION CIVICA RADICAL                                                                                ",255
"0008","PARTIDO FEDERAL          ","PARTIDO FEDERAL                                                                                     ",26112
"0014","PARTIDO OBRERO           ","PARTIDO OBRERO                                                                                      ",192
"0022","PARTIDO HUMANISTA        ","PARTIDO HUMANISTA                                                                                   ",4626167
"0023","UNION POPULAR            ","UNION POPULAR                                                                                       ",4626167
"0038","MOVIMIENTO SOCIALISTA DE ","MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST)                                                     ",130
"0040","MOVIMIENTO LIBRES DEL SUR","MOVIMIENTO LIBRES DEL SUR                                                                           ",16764006
"0047","COALICION CIVICA - AFIRMA","COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI)                                  ",32768
"0050","PARTIDO SOCIALISTA       ","PARTIDO SOCIALISTA                                                                                  ",204
"0054","PARTIDO DE LA VICTORIA   ","PARTIDO DE LA VICTORIA                                                                              ",15773696
"0060","MOVIMIENTO INDEPENDIENTE ","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ",10092543
"0061","IZQUIERDA POR UNA OPCION ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ",5263615
"0063","ES POSIBLE               ","ES POSIBLE                                                                                          ",3381759
"0064","PRO PROPUESTA REPUBLICANA","PRO PROPUESTA REPUBLICANA                                                                           ",65535
"0068","NUEVA IZQUIERDA          ","NUEVA IZQUIERDA                                                                                     ",13260
"0069","GEN                      ","GEN                                                                                                 ",12835293
"0150","DEMOCRATA INDEPENDIENTE  ","DEMOCRATA INDEPENDIENTE                                                                             ",14336204
"0151","PARTIDO INDEPENDIENTE DEL","PARTIDO INDEPENDIENTE DEL CHUBUT                                                                    ",16764159
"0152","MOVIMIENTO POLO SOCIAL LA","MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ",683492
"0153","MOVIMIENTO POPULAR NEUQUI","MOVIMIENTO POPULAR NEUQUINO                                                                         ",14606046
"0154","PARTIDO PROVINCIAL RIONEG","PARTIDO PROVINCIAL RIONEGRINO                                                                       ",14994616
"0155","PARTIDO RENOVADOR DE SALT","PARTIDO RENOVADOR DE SALTA                                                                          ",14336204
"0156","CRUZADA RENOVADORA       ","CRUZADA RENOVADORA                                                                                  ",12106214
"0157","PARTIDO DE ACCION CHUBUTE","PARTIDO DE ACCION CHUBUTENSE                                                                        ",5296274
"0158","MOVIMIENTO POPULAR FUEGUI","MOVIMIENTO POPULAR FUEGUINO                                                                         ",9944773
"0159","FRENTE MERCEDINOS POR EL ","FRENTE MERCEDINOS POR EL CAMBIO                                                                     ",7237260
"0160","PROYECTO CLASE MEDIA     ","PROYECTO CLASE MEDIA                                                                                ",1389333
"0161","PARTIDO NUEVA GENERACION ","PARTIDO NUEVA GENERACION                                                                            ",3373845
"0162","PARTIDO MOVIMIENTO VECINA","PARTIDO MOVIMIENTO VECINAL INDEPENDIENTE PROVINCIAL                                                 ",1381875
"0163","PARTIDO CONVERGENCIA DEMO","PARTIDO CONVERGENCIA DEMOCRATICA                                                                    ",6015245
"0164","MOVIMIENTO DE INTEGRACION","MOVIMIENTO DE INTEGRACION LATINOAMERICANA EXP.SOC                                                   ",5066944
"0165","PARTIDO NUEVO OCTUBRE    ","PARTIDO NUEVO OCTUBRE                                                                               ",7973645
"0166","UNION DE LOS NEUQUINOS   ","UNION DE LOS NEUQUINOS                                                                              ",14202006
"0168","PARTIDO DIGNIDAD CIUDADAN","PARTIDO DIGNIDAD CIUDADANA                                                                          ",16776960
"0174","PARTIDO POPULAR          ","PARTIDO POPULAR                                                                                     ",9803737
"0179","PARTIDO CIUDADANOS A GOBE","PARTIDO CIUDADANOS A GOBERNAR                                                                       ",14136213
"0180","SANTAFESINO CIEN POR CIEN","SANTAFESINO CIEN POR CIENTO                                                                         ",153
"0181","FUERZA REPUBLICANA       ","FUERZA REPUBLICANA                                                                                  ",16737894
"0182","PROYECTO SUR             ","PROYECTO SUR                                                                                        ",3394611
"0183","PARTIDO MOVIMIENTO AL SOC","PARTIDO MOVIMIENTO AL SOCIALISMO                                                                    ",4276545
"0184","PUEBLO NUEVO             ","PUEBLO NUEVO                                                                                        ",13020235
"0185","VOS CAMBIO Y ACCION      ","VOS CAMBIO Y ACCION                                                                                 ",14202006
"0186","LABORISTA DE LA INDEPENDE","LABORISTA DE LA INDEPENDENCIA                                                                       ",3969653
"0187","AUTODETERMINACION Y LIBER","AUTODETERMINACION Y LIBERTAD                                                                        ",16724889
"0188","CAMBIO POPULAR TUCUMANO  ","CAMBIO POPULAR TUCUMANO                                                                             ",6697881
"0190","PARTIDO DE LOS TRABAJADOR","PARTIDO DE LOS TRABAJADORES SOCIALISTAS                                                             ",13260
"0191","VECINALISMO INDEPENDIENTE","VECINALISMO INDEPENDIENTE                                                                           ",6684876
"0199","ESPACIO DEMOCRATICO PARA ","ESPACIO DEMOCRATICO PARA LA VICTORIA                                                                ",14474738
"0200","MEMORIA Y MOVILIZACION SO","MEMORIA Y MOVILIZACION SOCIAL                                                                       ",14281213
"0201","MOVIMIENTO SOLIDARIO POPU","MOVIMIENTO SOLIDARIO POPULAR                                                                        ",12379351
"0203","SALTA SOMOS TODOS        ","SALTA SOMOS TODOS                                                                                   ",12379351
"0208","PARTIDO POR UN PUEBLO UNI","PARTIDO POR UN PUEBLO UNIDO                                                                         ",5287936
"0216","FRENTE PLURAL            ","FRENTE PLURAL                                                                                       ",14474738
"0217","ENCUENTRO VECINAL CORDOBA","ENCUENTRO VECINAL CORDOBA                                                                           ",683492
"0218","FRENTE GRANDE            ","FRENTE GRANDE                                                                                       ",1381813
"0234","MOVIMIENTO AL SOCIALISMO ","MOVIMIENTO AL SOCIALISMO                                                                            ",13158
"0262","EL MOVIMIENTO            ","EL MOVIMIENTO                                                                                       ",13434828
"0272","GENTE EN ACCION          ","GENTE EN ACCION                                                                                     ",6750156
"0276","MOVIMIENTO AVANZADA SOCIA","MOVIMIENTO AVANZADA SOCIALISTA                                                                      ",13421619
"0324","PARTIDO FE               ","PARTIDO FE                                                                                          ",16772300
"0325","MOVIMIENTO UNIDAD DEL TRA","MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION                                                       ",5066061
"0330","ACCION COMUNAL DEL PARTID","ACCION COMUNAL DEL PARTIDO DE TIGRE                                                                 ",1376379
"0331","ACCION MARPLATENSE       ","ACCION MARPLATENSE                                                                                  ",3380501
"0332","ACCION POR VILLARINO     ","ACCION POR VILLARINO                                                                                ",1381632
"0333","AGRUPACION ATLANTICA     ","AGRUPACION ATLANTICA                                                                                ",451349
"0334","AGRUPACION CIVICA VECINAL","AGRUPACION CIVICA VECINAL DE SAN ISIDRO                                                             ",13374741
"0335","1º TRES LOMAS            ","1º TRES LOMAS                                                                                       ",6645043
"0336","AGRUPACION RENOVACION SAN","AGRUPACION RENOVACION SAN ISIDRO A.R.S.I                                                            ",4770837
"0337","AGRUPACION VECINAL JOSE H","AGRUPACION VECINAL JOSE HERNANDEZ-VECINOS                                                           ",3347733
"0338","AGRUPACION VECINAL UNION ","AGRUPACION VECINAL UNION POR MORON                                                                  ",1394688
"0339","COMPROMISO CON VOS (C.C.V","COMPROMISO CON VOS (C.C.V)                                                                          ",14159346
"0340","COMPROMISO PRINGLES      ","COMPROMISO PRINGLES                                                                                 ",972257
"0341","CON VOCACION POR SAN ISID","CON VOCACION POR SAN ISIDRO                                                                         ",1433907
"0342","CONCORDANCIA APERTURISTA ","CONCORDANCIA APERTURISTA SALTENSE                                                                   ",2072825
"0343","CONSTRUCCION SOCIAL PARTI","CONSTRUCCION SOCIAL PARTICIPATIVA                                                                   ",1242099
"0344","CORRIENTE DE UNIDAD SOCIA","CORRIENTE DE UNIDAD SOCIAL Y POLITICA 6 DE DICIEMBRE                                                ",16376299
"0345","CRECER                   ","CRECER                                                                                              ",15725537
"0346","DEFENSA COMUNAL DE GENERA","DEFENSA COMUNAL DE GENERAL PAZ                                                                      ",15453947
"0347","ESPACIO UNION PRO        ","ESPACIO UNION PRO                                                                                   ",6677957
"0348","FRENTE CIUDAD NUEVA      ","FRENTE CIUDAD NUEVA                                                                                 ",11334106
"0349","FRENTE SOCIAL DE LA PROVI","FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES                                                       ",8414677
"0350","INTEGRACION CIUDADANA    ","INTEGRACION CIUDADANA                                                                               ",15583689
"0351","INTEGRACION VECINALISTA R","INTEGRACION VECINALISTA ROSALEÑA                                                                    ",2778666
"0352","JUNTOS POR DORREGO       ","JUNTOS POR DORREGO                                                                                  ",11185165
"0353","JUNTOS POR QUILMES       ","JUNTOS POR QUILMES                                                                                  ",15525546
"0354","JUNTOS POR TIGRE         ","JUNTOS POR TIGRE                                                                                    ",3347886
"0355","MAREA POPULAR            ","MAREA POPULAR                                                                                       ",1407897
"0356","MERCEDES INDEPENDIENTE CO","MERCEDES INDEPENDIENTE COMUNAL                                                                      ",4718664
"0357","MODELO VECINAL TENAZ     ","MODELO VECINAL TENAZ                                                                                ",7624278
"0358","MOVIMIENTO UNION DEL PART","MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ",14401918
"0359","MOVIMIENTO VECINAL DEL PA","MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS                                                      ",15591339
"0360","NUEVA ALTERNATIVA CARMEÑA","NUEVA ALTERNATIVA CARMEÑA                                                                           ",7317386
"0361","NUEVO ENCUENTRO          ","NUEVO ENCUENTRO                                                                                     ",1394892
"0362","NUEVO SIGLO DE 25 DE MAYO","NUEVO SIGLO DE 25 DE MAYO                                                                           ",8087214
"0363","NUEVO ZARATE             ","NUEVO ZARATE                                                                                        ",3360993
"0364","PARTIDO LEALTAD Y DIGNIDA","PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES                                          ",8066304
"0365","PROPUESTA PINAMAR PROPIN ","PROPUESTA PINAMAR PROPIN                                                                            ",15798536
"0366","RIVADAVIA PRIMERO        ","RIVADAVIA PRIMERO                                                                                   ",917011
"0367","SAN FERNANDO PUEDE       ","SAN FERNANDO PUEDE                                                                                  ",13760779
"0368","TODOS VECINOS            ","TODOS VECINOS                                                                                       ",13703404
"0369","UNA NUEVA OPORTUNIDAD SUA","UNA NUEVA OPORTUNIDAD SUARENSE                                                                      ",8635669
"0370","UNIDAD POR CHASCOMUS     ","UNIDAD POR CHASCOMUS                                                                                ",15856166
"0371","UNIDOS POR  LA LIBERTAD Y","UNIDOS POR  LA LIBERTAD Y EL TRABAJO                                                                ",3461903
"0372","UNIDOS POR BAHIA (UPB)   ","UNIDOS POR BAHIA (UPB)                                                                              ",1394841
"0373","UNIDOS POR SAN MARTIN    ","UNIDOS POR SAN MARTIN                                                                               ",1402491
"0374","UNION VECINAL CONSERVADOR","UNION VECINAL CONSERVADORA DE LOBOS                                                                 ",5601
"0375","UNION VECINAL DE GONZALES","UNION VECINAL DE GONZALES CHAVES                                                                    ",9447987
"0376","UNION VECINAL DEL PARTIDO","UNION VECINAL DEL PARTIDO DE SAAVEDRA                                                               ",57672
"0377","UNION VECINAL DEL PARTIDO","UNION VECINAL DEL PARTIDO DE TRENQUE LAUQUEN                                                        ",1376768
"0378","UNION VECINALISTA DIGNID ","UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ",6455394
"0379","VECINOS INDEPENDIENTES VI","VECINOS INDEPENDIENTES VICENTE LOPEZ  (VIVILO)                                                      ",631656
"0380","VECINOS UNIDOS POR MORENO","VECINOS UNIDOS POR MORENO                                                                           ",14790195
"0381","VIENTOS DEL SUR (VI-SUR) ","VIENTOS DEL SUR (VI-SUR)                                                                            ",4167999
"0401","AGRUPACION VECINAISTA ARR","AGRUPACION VECINALISTA ARRIBA RIOJANOS                                                              ",4763187
"0402","COALICION CIVICA AFIRMACI","COALICION CIVICA AFIRMACION PARA UNA REP.IGUALITARIA                                                ",1389463
"0403","CONCERTACION SOCIAL BARRI","CONCERTACION SOCIAL BARRIAL                                                                         ",14672140
"0404","CONDUCCION RENOVADORA    ","CONDUCCION RENOVADORA                                                                               ",1414579
"0405","CORRIENTE UNIDOS Y ORG   ","CORRIENTE UNIDOS Y ORGANIZADOS                                                                      ",7498284
"0406","ENCUENTRO SOCIAL RIOJANO ","ENCUENTRO SOCIAL RIOJANO                                                                            ",6695466
"0407","FRENTE AMPLIO DE RENOVACI","FRENTE AMPLIO DE RENOVACION POPULAR(FARP)                                                           ",1376481
"0408","FRENTE CON TODOS         ","FRENTE CON TODOS                                                                                    ",4319990
"0409","FRENTE DEL PUEBLO        ","FRENTE DEL PUEBLO                                                                                   ",6620327
"0410","FRENTE PARTICIPACION SOCI","FRENTE PARTICIPACION SOCIAL                                                                         ",8888489
"0411","FRENTE PERONISMO RIOJANO ","FRENTE PERONISMO RIOJANO                                                                            ",7490634
"0412","FRENTE UNICO RIOJANO     ","FRENTE UNICO RIOJANO                                                                                ",1402593
"0413","FRENTE UNIDOS            ","FRENTE UNIDOS                                                                                       ",8611093
"0414","IZQUIERDA POR UNA OPCION ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ",8059640
"0415","MOVIMIENTO RENOVACION RIO","MOVIMIENTO RENOVACION RIOJANA                                                                       ",10043199
"0416","PARTIDO COMPROMISO RIOJAN","PARTIDO COMPROMISO RIOJANO                                                                          ",8887617
"0417","PARTIDO COMUNISTA        ","PARTIDO COMUNISTA                                                                                   ",10868014
"0418","PARTIDO DE LA VICTORIA   ","PARTIDO DE LA VICTORIA                                                                              ",337910
"0419","PARTIDO DEPARTAMENTAL COM","PARTIDO DEPARTAMENTAL COMPROMISO CIUDADANO                                                          ",1381683
"0420","PARTIDO ES POSIBLE       ","PARTIDO ES POSIBLE                                                                                  ",5557332
"0421","PARTIDO FRENTE FEDERAL   ","PARTIDO FRENTE FEDERAL                                                                              ",4776294
"0422","PARTIDO MOVIEMIENTO OCTU ","PARTIDO MOVIMIENTO OCTUBRES                                                                         ",205277
"0423","PATIDO NUEVA GENERACION  ","PARTIDO NUEVA GENERACION                                                                            ",11958826
"0424","PARTIDO NUEVO EXODO (NEX)","PARTIDO NUEVO EXODO (NEX)                                                                           ",3955260
"0425","PARTIDO SOCIALISTA INDEPE","PARTIDO SOCIALISTA INDEPENDIENTE                                                                    ",9456684
"0426","PRO - PROPUESTA REPUBLICA","PRO-PROPUESTA REPUBLICANA                                                                           ",14216721
"0427","UNION CIVICA RADICAL     ","UNION CIVICA RADICAL                                                                                ",5358986
"0428","FUERZA CIVICA RIOJANA    ","FUERZA CIVICA RIOJANA                                                                               ",242697
"0429","PARTIDO JUSTICIALISTA    ","PARTIDO JUSTICIALISTA                                                                               ",1420800
"0430","PARTIDO LEALTAD Y DIGNIDA","PARTIDO LEALTAD Y DIGNIDAD                                                                          ",6652693
"0431","MOVIMIENTO NUEVO 30 DE NO","MOVIMIENTO NUEVO TREINTA DE NOVIEMBRE                                                               ",13151470
"0432","MOVIMIENTO POPULAR ALTERN","MOVIMIENTO POPULAR ALTERNATIVO                                                                      ",1436661
"0433","PERONISTA SIN FRONTERAS  ","PERONISTA SIN FRONTERAS                                                                             ",9810709
"0434","AGRUPACION MUNICIPAL POP ","AGRUPACION MUNICIPAL POPULAR DE VINCHINA 29 DE MAYO                                                 ",6835370
"0501","FRENTE PARA LA VICTORIA  ","FRENTE PARA LA VICTORIA                                                                             ",13995603
"0502","UNEN                     ","UNEN                                                                                                ",13408767
"0503","UNION PRO                ","UNION PRO                                                                                           ",65535
"0504","COMPROMISO FEDERAL       ","COMPROMISO FEDERAL                                                                                  ",3381759
"0505","FRENTE DE IZQUIERDA Y DE ","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ",130
"0506","CAMINO POPULAR           ","CAMINO POPULAR                                                                                      ",11324662
"0507","UNIDOS POR LA LIBERTAD Y ","UNIDOS POR LA LIBERTAD Y EL TRABAJO                                                                 ",32896
"0508","FRENTE CIVICO Y SOCIAL   ","FRENTE CIVICO Y SOCIAL                                                                              ",6108951
"0509","FRENTE TERCERA POSICION (","FRENTE TERCERA POSICION (F3P) UNIDAD CATAMARQUEÑA                                                   ",65535
"0510","FRENTE RENOVADOR         ","FRENTE RENOVADOR                                                                                    ",52428
"0511","FRENTE POPULAR DEMOCRATIC","FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS)                                                       ",14336204
"0512","UNION POR CORDOBA        ","UNION POR CORDOBA                                                                                   ",5296274
"0513","UNION CON FE             ","UNION CON FE                                                                                        ",5540756
"0514","FRENTE PROGRESISTA CIVICO","FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ",6108951
"0515","ALIANZA CORRENTINA PANU-P","ALIANZA CORRENTINA PANU-PA                                                                          ",13260
"0516","CAMBIO POPULAR           ","CAMBIO POPULAR                                                                                      ",5263615
"0517","ENCUENTRO POR CORRIENTES ","ENCUENTRO POR CORRIENTES                                                                            ",5296274
"0518","FRENTE CIVICO PRO CHACO  ","FRENTE CIVICO PRO CHACO                                                                             ",65535
"0519","UNION POR CHACO          ","UNION POR CHACO                                                                                     ",6108951
"0520","ALIANZA REPUBLICANA      ","ALIANZA REPUBLICANA                                                                                 ",9486586
"0521","FRENTE AMPLIO FORMOSEÑO  ","FRENTE AMPLIO FORMOSEÑO                                                                             ",14336204
"0522","FRENTE JUJEÑO            ","FRENTE JUJEÑO                                                                                       ",255
"0523","FRENTE UNION PRO         ","FRENTE UNION PRO                                                                                    ",65535
"0524","FRENTE PRIMERO JUJUY     ","FRENTE PRIMERO JUJUY                                                                                ",3394611
"0525","FRENTE PAMPEANO CIVICO Y ","FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM                                                            ",15592904
"0526","FRENTE PROPUESTA FEDERAL ","FRENTE PROPUESTA FEDERAL                                                                            ",5263615
"0527","UNION PD-PRO             ","UNION PD-PRO                                                                                        ",2565927
"0528","FRENTE AMPLIO PROGRESISTA","FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI                                                      ",6108951
"0529","FRENTE RENOVADOR DE LA CO","FRENTE RENOVADOR DE LA CONCORDIA                                                                    ",12835293
"0530","FRENTE LUCHE Y VUELVE    ","FRENTE LUCHE Y VUELVE                                                                               ",2064920
"0531","FRENTE UNIDOS            ","FRENTE UNIDOS                                                                                       ",3969653
"0532","COMPROMISO CIVICO NEUQUIN","COMPROMISO CIVICO NEUQUINO                                                                          ",13606899
"0533","FRENTE PROGRESISTA SUR   ","FRENTE PROGRESISTA SUR                                                                              ",39372
"0534","ALIANZA FRENTE PROGRESIST","ALIANZA FRENTE PROGRESISTA                                                                          ",5263615
"0535","FRENTE POPULAR SALTEÑO   ","FRENTE POPULAR SALTEÑO                                                                              ",9803737
"0536","UNION POR LA REPUBLICA - ","UNION POR LA REPUBLICA - FRENTE POR LA JUSTICIA                                                     ",54978
"0537","FRENTE DEL PUEBLO        ","FRENTE DEL PUEBLO                                                                                   ",8421376
"0538","UNION PARA VIVIR MEJOR   ","UNION PARA VIVIR MEJOR                                                                              ",3487637
"0539","UNITE! CON FE POR LA CULT","UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO                                                   ",683492
"0540","FRENTE POPULAR           ","FRENTE POPULAR                                                                                      ",5296274
"0541","FRENTE CIVICO POR SANTIAG","FRENTE CIVICO POR SANTIAGO                                                                          ",5066944
"0542","ALTERNATIVA POPULAR      ","ALTERNATIVA POPULAR                                                                                 ",5880731
"0543","FRENTE ACUERDO CIVICO Y S","FRENTE ACUERDO CIVICO Y SOCIAL                                                                      ",6108951
"0544","UNION FEDERAL            ","UNION FEDERAL                                                                                       ",6750156
"0545","ALIANZA UNION POR ENTRE R","ALIANZA UNION POR ENTRE RIOS                                                                        ",3368601
"0546","ALIANZA FRENTE AMPLIO PRO","ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   ",3381759
"0547","UNION PRO SANTA FE FEDERA","UNION PRO SANTA FE FEDERAL                                                                          ",52479
"0548","FUERZA CIVICA RIOJANA    ","FUERZA CIVICA RIOJANA                                                                               ",8210719
"0549","FRENTE NUEVO PACTO FEDERA","FRENTE NUEVO PACTO FEDERAL                                                                          ",683492
"0550","FRENTE POR LA LIBERTAD   ","FRENTE POR LA LIBERTAD                                                                              ",8421504
"0551","ACCION CIUDADANA         ","ACCION CIUDADANA                                                                                    ",8009660
"0552","ALUVION CIUDADANO        ","ALUVION CIUDADANO                                                                                   ",6448627
"0553","BANDERA VECINAL          ","BANDERA VECINAL                                                                                     ",7270064
"0554","CONFIANZA PUBLICA        ","CONFIANZA PUBLICA                                                                                   ",12804417
"0555","CONVERGENCIA POPULAR PORT","CONVERGENCIA POPULAR PORTEÑA                                                                        ",8074209
"0556","DEMOCRATA CRISTIANO      ","DEMOCRATA CRISTIANO                                                                                 ",6716334
"0557","LIBERAL LIBERTARIO       ","LIBERAL LIBERTARIO                                                                                  ",6144870
"0558","PARTIDO DE LA RED        ","PARTIDO DE LA RED                                                                                   ",3399957
"0559","PARTIDO NACIONALISTA CONS","PARTIDO NACIONALISTA CONSTITUCIONAL UNIR                                                            ",9592402
"0560","POPULAR DE LA RECONSTRUCC","POPULAR DE LA RECONSTRUCCION                                                                        ",4785956
"0561","SUMAR IZQUIERDA DEMOCRATI","SUMAR IZQUIERDA DEMOCRATICA                                                                         ",9803187
"0562","MVTO COMUNAL MERCEDINO   ","MOVIMIENTO COMUNAL MERCEDINO                                                                        ",8626563
"0563","INST. ELECTORAL POR LA UN","INST. ELECTORAL POR LA UNIDAD POPULAR                                                               ",10584993
"0564","MOV. DE ACCION POPULAR   ","MOV. DE ACCION POPULAR (MAP)                                                                        ",6939015
"0565","FRENTE VOLUNTAD SOCIAL   ","FRENTE VOLUNTAD SOCIAL (VOS)                                                                        ",4763178
"0566","NUEVO PAKLIN             ","NUEVO PAKLIN                                                                                        ",4729353
"0567","MOVIMIENTO COMUNITARIO PL","MOVIMIENTO COMUNITARIO PLURICULTURAL                                                                ",7396928
"0568","PARTIDO PROYECTO POPULAR ","PARTIDO PROYECTO POPULAR                                                                            ",9362978
"0569","AL.FTE. UNIDOS Y ORGANIZA","AL.FTE. UNIDOS Y ORGANIZADOS POR LA SOB. POPULAR                                                    ",4729546
"1001","FRENTE PARA LA VICTORIA Y","FRENTE PARA LA VICTORIA Y ALIADOS",13995603
"1002","UCR,PARTIDO SOCIALISTA Y","UCR, PARTIDO SOCIALISTA Y ALIADOS",9803737
"1003","PRO Y ALIADOS","PRO Y ALIADOS",65535
"1004","FRENTE RENOVADOR Y ALIADO","FRENTE RENOVADOR Y ALIADOS",2088165
"1005","UNIDOS POR LA LIBERTAD Y","UNIDOS POR LA LIBERTAD Y EL TRABAJO",683492
"1006","UNEM","UNEM",13083058
"1007","FRENTE DE IZQUIERDA Y ALI","FIT Y ALIADOS",4211642
"1008","UNIÓN POR CÓRDOBA","UNIÓN POR CÓRDOBA",12379351
"1009","MPN","MPN",14136213
"1010","OTROS","OTROS",16770523
"9997","RESTO DE PARTIDOS        ","RESTO DE PARTIDOS                                                                                   ",2758062
"9998","RESTO DE AGRUPACIONES    ","RESTO DE AGRUPACIONES                                                                               ",7237230
